idFrom,idTo,vehicleType,month,day,hour,minute,holiday,vacation,temperature,pType,secondsDelay
6,5,2,10,3,6,31,0,0,24,1,130
5,8,2,11,3,6,24,0,0,2,0,199
8,11,0,12,5,17,1,0,0,-6,0,201
11,13,2,7,4,8,21,0,1,39,0,176
12,10,2,8,6,15,13,0,0,31,0,159
10,9,0,8,3,22,12,0,1,30,2,164
9,4,2,12,7,22,4,0,0,-11,2,152
4,7,0,3,5,12,42,0,0,-1,0,132
19,18,0,8,1,20,31,0,1,26,2,188
18,1,2,5,6,9,25,0,0,20,0,139
1,8,2,3,2,12,25,0,0,-22,0,222
9,3,0,10,3,11,47,0,0,20,1,178
3,2,1,7,1,13,22,0,1,31,1,111
2,17,0,5,4,16,38,0,0,12,1,258
17,20,1,8,2,9,7,0,1,35,0,145
8,14,0,8,4,22,55,0,1,26,0,194
14,15,0,5,7,10,17,0,0,19,2,171
16,21,1,4,3,7,52,0,1,16,2,345
21,9,0,2,4,17,22,0,1,-18,2,155
6,5,2,12,6,6,1,0,0,2,1,124
5,8,2,6,4,15,35,0,1,38,1,210
8,11,2,11,3,19,57,0,0,7,1,197
11,13,2,8,7,17,18,0,0,39,1,197
12,10,1,9,3,21,33,0,1,15,2,149
10,9,1,8,7,22,41,0,0,29,1,177
9,4,0,9,6,11,52,0,0,12,2,177
4,7,1,2,3,17,3,0,0,-15,0,154
19,18,0,7,5,8,26,0,1,27,1,198
18,1,1,6,4,9,2,0,0,37,0,173
1,8,2,12,3,17,24,1,0,-1,2,215
9,3,1,12,7,14,23,0,0,-7,2,189
3,2,1,7,4,11,6,0,1,32,2,109
2,17,0,11,4,11,52,0,0,2,0,242
17,20,2,9,7,19,54,0,0,19,1,174
8,14,0,1,6,20,55,0,0,-6,0,236
14,15,1,10,1,15,48,0,0,18,2,162
16,21,1,6,7,12,49,0,0,38,0,277
21,9,0,7,7,21,9,0,0,38,1,140
6,5,0,6,5,20,6,0,0,36,1,130
5,8,0,10,1,18,44,0,0,17,2,240
8,11,0,5,1,7,10,0,0,15,2,208
11,13,0,1,4,18,36,1,0,-9,0,200
12,10,2,12,3,18,28,0,0,-21,2,177
10,9,1,3,4,17,57,0,0,-15,2,219
9,4,0,10,7,10,23,0,0,18,2,165
4,7,0,8,5,11,39,0,1,27,2,136
19,18,0,8,2,14,29,0,1,38,0,171
18,1,1,12,3,15,18,0,1,-1,0,161
1,8,2,12,6,7,57,0,0,-6,0,197
9,3,0,6,7,8,5,0,0,30,2,151
3,2,2,1,1,11,19,1,0,-9,0,90
2,17,2,7,3,11,59,0,1,38,2,204
17,20,0,1,3,20,43,1,0,-7,2,143
8,14,2,2,3,10,0,0,0,-15,2,232
14,15,2,9,4,13,10,0,0,24,1,167
16,21,0,11,4,17,6,0,0,-11,2,343
21,9,1,10,4,16,58,0,0,25,2,171
6,5,0,2,4,9,19,0,0,-14,0,132
5,8,2,8,3,6,55,0,1,27,2,211
8,11,2,4,1,15,11,0,1,23,1,177
11,13,2,1,7,14,28,0,0,-22,0,199
12,10,2,2,1,11,26,0,0,-4,0,160
10,9,2,10,5,15,58,0,0,15,0,184
9,4,1,6,5,18,22,0,1,39,0,180
4,7,2,9,7,6,3,0,0,15,2,120
19,18,0,11,4,8,47,0,0,8,2,216
18,1,1,8,1,21,47,0,1,32,0,150
1,8,2,5,6,16,37,0,0,18,1,224
9,3,1,7,4,13,29,0,1,34,2,180
3,2,1,4,4,21,48,0,0,24,1,104
2,17,2,6,5,9,55,0,0,35,2,231
17,20,1,3,5,18,25,0,0,-14,0,189
8,14,1,9,5,22,19,0,0,22,2,237
14,15,2,5,7,14,42,0,0,18,0,162
16,21,2,8,6,13,34,0,0,38,0,241
21,9,2,2,5,12,13,0,1,-8,2,135
6,5,2,8,1,16,1,0,1,29,0,118
5,8,1,12,2,15,31,1,0,4,1,233
8,11,0,10,3,18,53,0,0,19,2,217
11,13,2,5,4,18,21,0,0,13,2,215
12,10,2,3,5,18,54,0,0,-6,0,158
10,9,0,7,4,13,20,0,1,37,2,181
9,4,2,1,2,10,38,0,1,5,2,164
4,7,1,11,7,16,20,0,0,-2,0,129
19,18,0,7,1,22,22,0,1,35,2,169
18,1,1,5,6,12,16,0,0,19,1,148
1,8,2,4,3,20,58,0,0,14,0,223
9,3,1,8,1,19,43,0,1,28,2,197
3,2,2,8,2,10,35,0,1,39,2,100
2,17,0,1,2,6,41,0,1,3,1,249
17,20,2,9,5,17,52,0,0,14,1,179
8,14,1,6,1,18,14,0,0,38,0,261
14,15,0,2,1,16,19,0,0,-22,2,186
16,21,0,7,6,19,1,0,0,33,1,271
